recid,givenname,surname,suburb,pc
761859,kate,chapman,brighton,4017
1384455,lian,hurse,carisbrook,3464
1933333,matthew,russo,bardon,4065
1564695,lorraine,zammit,minchinbury,2770
5971993,ingo,richardson,woolsthorpe,3276
5455900,frederick,greenham,manly,2095
1007647,meleah,hauck,auchenflower,4066
4120608,john,morris,fairfield,4103
4800550,reginald,armstrong,wahroonga,2076
57386,george,chen,surfers paradise,4217
933934,terence,carter,kogan,4406
4399151,anthony,blair,hewett,5118
2949170,mata,neville,bald hills,4036
2596921,bo,beauchamp,mount louisa,4814
1613882,debra,welham,edge hill,4870
4931644,aline,hall,brighton south,5048
3006528,glen,walters,tuross head,2537
2940998,david,ind,tweed heads south,2486
3735624,nathan,woodrow,mayfield,2304
57419,maxwell,nicholls,ngunnawal,2913
4661329,kristy,demopoulos,mentone,3194
4431955,ingrid,schroeder,greta,2334
2457685,alison,carpenter,brunswick,3056
1458264,dean,hester,chocolyn,3260
229471,pietro,muskarovsky,myaree,6154
4489314,linda,mcmahon,valley view,5093
4309092,laura,robson,lake munmorah,2259
3211365,andrea,owen,kareela,2232
1966188,norma,howell,leeton,2705
1138799,christine,sumner,morley,6062
2351219,michael,barber,woodridge,4114
2400376,siu,roberts,boggabri,2382
6332538,tommaso,burns,thomastown,3074
229501,garry,rick,bray park,4500
3784830,russell,stewart,north rockhampton,4701
2039938,donald,angel,north ryde,2113
270471,lynette,mcpherson,jewells,2280
1261708,carolyn,hume,adamstown,2289
4882574,yuk,phelps,tamworth,2340
5775507,christina,belcher,cromer,2099
2875542,amir,patterson,iluka,2466
5537945,tomiko,chapman,moe,3825
3489947,jacqueline,trethowan,armadale,3143
737436,raymond,barry,bondi,2026
1753251,michael,king,fullarton,5063
4989093,william,phelps,gympie,4570
6226087,lucille,irwin,west pennant hills,2125
3530922,anne,franklin,tennant creek,0860
696495,matthew,layyavong,minto,2566
2711734,clifford,palczewski,thornleigh,2120
5980346,donald,gray,moranbah,4744
3735739,vien,ireland,ascot vale,3032
4710589,william,crough,st leonards,3223
5898430,john,o'donnell,north rockhampton,4701
3965127,sushil,henry,sheidow park,5158
