recid,givenname,surname,suburb,pc
4538368,kenneth,yoemans,lota,4179
1081344,chris,mitchell,mount ousley,2519
6037506,chrisoula,o'brien,salt ash,2318
2162693,dion,davies,upper caboolture,4510
3350529,susan,park,stony creek,3957
6389768,josef,agnew,bayswater,3153
5447697,kylie,samargis,fawkner,3060
4866066,joseph,stephen,raby,2566
6864919,joan,bishop,croydon,3136
6397976,jennifer,de martini,walkaway,6528
3391513,colleen,wickremasignhe,berwick,3806
3473434,paul,ferris,mosman,2088
3570351,graeme,sykes,brassall,4305
4636707,sharon,o'brien,wollongbar,2477
6692901,melanie,scott,wembley,6014
4280327,lawrence,barclay,torrumbarry,3562
2277425,kate,nguyen,greenbank,4124
2801715,anne,rundle,everard park,5035
4669494,tony,gunn,caloundra,4551
196670,mahmoud,minchington,highfields,4352
3932226,robin,day,coogee,2034
6601398,stephen,boyd,st kilda,3182
6086726,luke,latham,macksville,2447
5316684,cenzina,spargo,warragul,3820
1769549,kay,anodin,northcote,3070
1032271,christine,mcmillan,alice springs,0870
4456535,jamie,pugh,delta,4805
1523801,john,stiskan,westmead,2145
6234202,percival,white,mount pritchard,2170
4005986,tchian,lin,boronia,3155
1810536,gary,lewis,naremburn,2065
409707,gabrielle,fitzpatrick,edith,2787
2146413,marilyn,howlett,edmonton,4869
49265,michael,james,bassendean,6054
2883698,robert,bishop,pinkenba,4008
2228339,martin,lepisto,bellbird,2325
2236532,wendy,trotter,clifton hill,3068
1024119,jeanette,holt,cranebrook,2749
6621887,ronald,roadnight,north sydney,2060
5051754,christine,hams,eagle vale,2558
4866176,kathleen,shearman,muswellbrook,2333
5759105,johanna,gifford,murrumbeena,3163
6135948,gilbert,vickery,nambour,4560
6873112,john,kenworthy,macksville,2447
3716462,arif,drinkwater,thora,2454
667673,francis,walker,artarmon,2064
5021852,michael,williams,claremont,7011
204962,josip,barkachi,brunswick,3056
3997863,melissa,argaet,doncaster east,3109
5830459,diane,lough,ormond,3204
5955762,glenorchy,forbes,theodore,2905
1925300,john,faify,brunswick west,3055
2998453,ashley,dennis,scoresby,3179
2203833,bruno,craig,somerville,6430
6652090,jean,arvon,labrador,4215
6783163,paula,jansen,cranbourne,3977
6136006,marjorie,adin,kellyville,2155
4104391,helen,grolman,wodonga west,3690
3629256,zofia,de wit,croydon,3136
5644489,kim,beavis,ringwood,3134
614603,muriel,box,pingelly,6308
4489423,ryan,pottenger,red hill,2603
4358352,louise,cushway,stirling,5152
3776721,michael,crosby,currimundi,4551
2146339,mary,garrett,mornington,3931
942293,david,klemola,upper mount gravatt,4122
3236055,lynette,zou,canterbury,3126
3948761,david,youngman,smithton,7330
2056419,greg,vu,durack,4077
3096804,sum,ross,goondiwindi,4390
2646245,sharon,sladek,parkes,2870
4776176,debbie,hughes,toormina,2452
4825336,elizabeth,trianta,mitcham,3132
1237245,bahram,baker,kambah,2902
540926,marjory,drew,kedron,4031
540930,alexandr,botha,pymble,2073
6242566,grahame,ferguson,manly,4179
614663,linda,farmer,labrador,4215
3694869,eric,jameson,adamstown,2289
5718294,osama,nash,reservoir,3073
6545690,man,kelly,banyo,4014
4202779,ann,davies,isle of capri,4217
4219172,june,hargrave,whyalla norrie,5608
3145777,steven,pye,tintinara,5266
4178217,aidan,durie,normanhurst,2076
4840158,carol,ottaway,mount gambier,5290
876854,antonio,stockton,redcliffe,4020
6512952,lynette,o'byrne,babinda,4861
1319230,maureen,fisher,croydon hills,3136
4956481,michael,cormick,belmont,3216
311618,vera,faulkner,clayton south,3169
688452,john,scott,albury,2640
4145206,john,hannay,melton,3337
3866950,olof,knaus,cheltenham,3192
6676811,susan,ngo,nunawading,3131
3785036,denise,buchanan,newstead,4006
1417550,gavin,curran,hove,5048
4418815,maud,leonard,arana hills,4054
2572625,robert,glastonbury,whyalla norrie,5608
5275991,jacqueline,murray,balcatta,6021
5005657,glen,mcglone,launceston,7250
5112155,paul,gardner,holland park,4121
6152541,shaun,taverner,victor harbor,5211
3883370,christofelia,albergo,newmarket,4051
778604,diane,douglas,sunnybank hills,4109
2834797,ross,heron,cowwarr,3857
6889839,marcia,mcallester,brighton,3186
3236208,althea,nanscawen,ballina,2478
4637047,maree,smith,malanda,4885
5390717,valma,osborne,gnangara,6065
6766975,keren,arrowsmith,shailer park,4128
6316419,jiang,harris,lilydale,3140
5685636,earl,irving,mosman park,6012
3072389,edgar,heidrich,mount morgan,4714
6283654,pei,byers,bulli,2516
4694408,nerroille,tilley,ashwood,3147
1016203,gillian,sun,st marys,2760
6373774,karen,sheman,killarney heights,2087
3973523,mark,neivandt,ocean grove,3226
3457434,gretel,lam,toongabbie,2146
4231416,christopher,gaundar,doonside,2767
213407,victoria,ayres,winchelsea,3241
1139107,david,frede,flemington,3031
663421,matthew,schubach,wodonga,3690
483755,karen,mcintosh,baulkham hills,2153
5226925,vasant,caruana,seaforth,2092
3916213,philip,miles,blackburn,3130
74168,thow,whillas,black hill,5353
4972985,david,marsh,orange,2800
2769338,ross,doyle,lyons,2606
511482,james,prior,wahroonga,2076
3252674,christopher,lloyd,dulwich hill,2203
4112837,anita,gill,box hill north,3129
5702086,jodie,grant,pura pura,3271
1734050,john,buckley,lane cove,2066
6398415,lynette,kerry,glebe,7000
3432913,joan,cole,annerley,4103
6144466,jean,rice,bangor,2234
1627555,magda,lehman,byford,6122
2744788,gerard,reid,caringbah,2229
5734870,athol,hodge,cheltenham,3192
5087703,jennifer,ervine,emerald,4720
4415965,elizabeth,chawshin,fairfield,2165
4964830,douglas,wilson,nelly bay,4819
4964831,martin,wettenhall,runaway bay,4216
1835491,micheal,horvath,sydney,2000
2310632,geoffrey,smith,williamstown,3016
6341097,rochelle,cameron,lindfield,2070
5595626,kenneth,wood,invergordon,3636
1822802,jillian,hinkley,karrinyup,6018
2605550,kenneth,tsiros,malvern,3144
3711473,lucy,corn,tingalpa,4173
598518,angela,petrus,kurralta park,5037
5816827,pamela,fox,newnham,7248
6046209,trudi,biffin,maidstone,3012
3146244,adelina,herron,charlestown,2290
2048518,lorna,lowe,glenwood,2768
4275896,robert,angelakos,clarence gardens,5039
2269708,alan,jason,calamvale,4116
410129,louise,catlin,quairading,6383
2195986,ian,taylor,windsor gardens,5087
4506134,suk,rammuni,north ryde,2113
6676569,gunda,standen,bendoc,3888
5358106,nili,chan,riverwood,2210
4514335,colette,hobbs,collaroy,2097
4907555,rajinder,merrill,djugun,6725
1515325,thi,sloan,rossmore,2171
4498865,janine,hooper,north bondi,2026
1660338,steven,jefferson,davistown,2251
1106482,hazel,rigg,beaconsfield,7270
1720883,susan,richards,west wyalong,2671
6332986,phillip,o'reagan,cow bay,4873
1737279,faith,brentnall,goonellabah,2480
1311297,peter,legg,kilsyth,3137
5145158,anne,berry,frankston,3199
5997128,noel,clarke,tanilba bay,2319
4500395,siok,frizzo,stafford heights,4053
3768914,alfred,grothen,the junction,2291
4522579,nada,warr,mitcham,3132
6447702,wayne,douglas,west perth,6005
6164580,beatrice,kellaway,woodroffe,0830
4817499,julie,pogacic,salisbury park,5109
5448285,wan,binos,kaleen,2617
3596899,michelle,syer,kenmore,4069
4530790,sriyani,lennon,yarram,3971
6333031,james,woodham,glen iris,3146
3179112,albert,armstrong,driver,0830
819817,enzo,hamad,earlwood,2206
5489259,mirjana,moon,hargraves,2850
2163309,joyce,richards,glendalough,6016
1049203,john,simpson,coal point,2283
5072318,anthony,mccullogh,ngunnawal,2913
1925752,robert,hardy,barrack point,2528
6333061,brian,nowak,alice springs,0870
3097224,gary,mason,mccrae,3938
5620362,helen,maaliki,yagoona,2199
5677710,liesa,fallon,north hobart,7000
6431378,bridget,tahija,girrawheen,6064
4702873,john,spiers,coburg,3058
5446818,donald,finlay,katoomba,2780
6472350,nyukeng,sollars,engadine,2233
2769567,kylie,o'brien,colac,3250
5784224,joanne,van eck,balga,6061
98978,margaret,bennett,newstead,4006
3113635,elizabeth,jones,devonport,7310
5412294,rose,clayton,kingsley,6026
20593,stanley,mengel,albany creek,4035
1868456,julianne,egan,eight mile plains,4113
5596756,georgia,campbell,dubbo,2830
4948654,ronald,speechley,bundall,4217
3336713,christopher,new,tahmoor,2573
6013618,paul,moulden,dernancourt,5075
6570099,raymond,evans,longueville,2066
3197034,kellie,keenan,capalaba,4157
4090655,roslyn,phillips,shellharbour,2529
2925249,heather,hand,kiama,2533
5235397,john,hilton,ocean grove,3226
3826382,ki,scott,richmond,3121
5793229,evangeline,medhurst,fig tree pocket,4069
3457745,evangeline,klingner,clare,5453
860885,tania,coles,forster,2428
4408025,trevor,o'meara,mcminns lagoon,0822
3323343,christine,russo,dingley village,3172
1876701,le binh,bonser,north beach,6020
4286256,bryan,kamal,regents park,2143
4621030,carmen,steele,brompton,5007
2286315,david,nitschki,tuggerawong,2259
3084377,stephen,oakey,mount lawley,6050
4096762,inez,carroll,hawthorn,3122
3277563,philip,watson,grange,5022
4784894,joyce,mccurley,castle hill,2154
931285,george,henry,sandgate,4017
1450757,kathy,byrnes,beaconsfield,2014
3498758,monica,drupka,mount pritchard,2170
3171080,ian,bhashkar,kallangur,4503
3782103,alicja,refalo,londonderry,2753
2720524,nigel,chua,newtown,2042
2212622,yolanda,ball,jerrabomberra,2619
4399892,ronald,werner,jeparit,3423
2351894,wendy,bull,ashmore,4214
426777,peter,mckenzie,temora,2666
2761131,martin,gibson,jimboomba,4280
664350,ming,calvert,the vines,6069
2999072,lorraine,lancashire,albury,2640
4203996,glenn,nield,mangalo,5602
1139498,sandor,brown,lemon tree passage,2319
410412,daniel,uebergang,heidelberg heights,3081
2482990,suzanne,tran,cabramatta,2166
5137202,geoffrey,cosgrove,goulburn,2580
6890291,michelle,wilson,umina,2257
1155896,lenore,asencio,croydon,2132
6366017,joseph,corker,middle park,3206
2573122,gregory,jones,birchgrove,2041
1499972,sharon,cole,nerang,4211
2532168,anne,stewart,salamander bay,2317
2888522,fiona,mccoy,karratha,6714
1663822,barbara,norris,kiama,2533
1803087,teena,molloy,seaford,3198
5612369,rhona,birch,lisarow,2250
1311571,trudy,el boustani,edensor park,2176
4997974,beatrice,andrews,thornbury,3071
1286999,itala,prendergast,bairnsdale,3875
1488057,ann,witting,mount gravatt,4122
6898522,gweneth,clifford,edgecliff,2027
6079323,marianna,jackson,long jetty,2261
5210983,meegan,anderson,hampton,4352
3031912,douglas,macfarlane,balmain,2041
1573737,jeffrey,doung,craigieburn,3064
4907884,kelvin,vervest,clifton springs,3222
5358445,mathew,egan,leederville,6007
3359598,wendy,knaus,st marys,2760
5587823,darrell,maddocks,west pennant hills,2125
6267767,george,humphries,labrador,4215
6833016,paula,paatsch,clayfield,4011
66425,jodie,richard,westmead,2145
5366657,vera,reid,south yarra,3141
4203394,mary,mccudden,gympie,4570
4164604,douglas,griffiths,box hill south,3128
5538693,jeanene,fitzgerald,bundoora,3083
3474315,michael,king,mernda,3754
459671,irene,hayne,tewantin,4565
4768666,stephen,rennie,bundaberg,4670
6685596,rong,parchert,sarina,4737
2327456,yem,freedman,ferntree gully,3156
3097511,joshua,hoffmann,the chase,4737
1508278,kris,zakarauskas,fletcher,2304
6554554,merryl,tong,balwyn,3103
697277,cecil,cameron,seven hills,2147
2327487,angela,richmond,north melbourne,3051
4268994,gillian,mukherjee,south yarra,3141
4989892,maxwell,murray,longwood,3665
508066,john,mccarthy,pipers river,7252
2237390,marisa,irvine,isle of capri,4217
6775759,timothy,laws,new farm,4005
3867602,betty,kaldy,park grove,7320
